ticker,company,price_inr,change_inr,change_pct,volume,prev_close,high_inr,low_inr,fetched_at
TCS.BSE,Tata Consultancy Services,2389.85,11.7,0.4920,386217,2378.15,2421.95,2385.05,2026-03-30 05:49:39
INFY.BSE,Infosys,1270.0,-9.35,-0.7308,572992,1279.35,1295.0,1263.7,2026-03-30 05:49:52
HDFCBANK.BSE,HDFC Bank,756.25,-25.45,-3.2557,6142410,781.7,779.95,754.45,2026-03-30 05:50:04
ICICIBANK.BSE,ICICI Bank,1234.2,-25.6,-2.0321,613694,1259.8,1260.0,1230.6,2026-03-30 05:50:18
WIPRO.BSE,Wipro,191.45,2.4,1.2695,764466,189.05,192.25,187.6,2026-03-30 05:50:34
SBIN.BSE,State Bank of India,1020.05,-40.5,-3.8188,736260,1060.55,1055.25,1013.1,2026-03-30 05:50:47
BAJFINANCE.BSE,Bajaj Finance,844.35,-38.1,-4.3175,1562201,882.45,878.95,841.2,2026-03-30 05:51:02
ADANIENT.BSE,Adani Enterprises,1822.85,-63.2,-3.3509,89841,1886.05,1885.5,1817.35,2026-03-30 05:51:31
HINDUNILVR.BSE,Hindustan Unilever,2075.0,-60.9,-2.8513,180473,2135.9,2127.45,2068.35,2026-03-30 05:51:44
MARUTI.BSE,Maruti Suzuki,12387.9,-316.4,-2.4905,22889,12704.3,12684.95,12346.0,2026-03-30 05:51:59
